Number,E,heat,time
HT100008,5.83,61.59,2608
HT100008,0.08,-0.76,127
HT100008,5.78,59.61,2613
HT100008,0.1,-0.41,123
HT100008,5.89,58.72,2557
HT100008,0.1,-1.02,128
HT100008,5.95,58.18,2565
HT100008,0.13,-0.83,133
HT100008,5.98,57.58,2571
HT100008,0.08,-1.13,135
HT100008,5.92,56.86,2574
HT100008,0.13,-1.03,138
HT100008,2.38,21.54,1091
HT100008,1.35,0.38,52622
HT100008,1.8,16.71,835
HT100008,0.12,-1.5,147
HT100008,5.98,59.31,2561
HT100008,0.12,-1.96,149
HT100008,5.9,59.54,2558
HT100008,0.13,-1.04,152
HT100008,5.64,59.13,2560
HT100008,0.13,-1.55,153
HT100008,5.71,58.65,2557
HT100008,0.12,-0.78,158
HT100008,5.75,59.4,2535
HT100008,0.2,-2.13,200
HT100008,6.08,59.53,2562
HT100008,0.2,-1.97,194
HT100008,6.08,58.74,2565
HT100008,0.14,-2.26,199
HT100008,6.02,57.85,2566
HT100008,0.21,-2.32,249
HT100008,5.99,57.56,2575
HT100008,0.24,-2.71,272
HT100008,6.07,57.48,2576
HT100008,0.27,-3.19,302
HT100008,6.06,57.29,2583
HT100008,0.32,-2.79,321
HT100008,5.89,55.22,2510
HT100008,0.24,-3.53,297
HT100008,5.93,56.22,2529
HT100008,0.26,-3.8,296
HT100008,5.93,56.07,2530
HT100008,0.28,-2.59,306
HT100008,5.94,54.85,2510
HT100008,0.28,-2.37,302
HT100008,5.96,55.17,2510
HT100008,0.28,-3.27,305
HT100008,5.92,55.63,2510
HT100008,0.24,-3.14,272
HT100008,5.95,56.26,2543
HT100008,0.23,-2.94,285
HT100008,5.95,56.06,2510
HT100008,0.32,-3.19,309
HT100008,5.93,55.94,2510
HT100008,0.28,-3.44,304
HT100008,5.98,56.6,2526
HT100008,0.32,-3.36,307
HT100008,6.04,56.64,2530
HT100008,0.34,-3.18,312
HT100008,5.94,57.39,2511
HT100008,0.25,-3.48,299
HT100008,6.06,59.26,2527
HT100008,0.3,-3.54,307
HT100008,6.19,58.41,2527
HT100008,0.28,-3.22,313
HT100008,6.1,58.62,2510
HT100008,0.28,-2.89,300
HT100008,6.03,58.98,2510
HT100008,0.35,-3.02,314
HT100008,5.93,58.49,2511
HT100008,0.3,-2.75,304
HT100008,5.93,58.95,2510
HT100008,0.29,-2.42,301
HT100008,6.02,59.64,2511
HT100008,0.23,-3.39,295
HT100008,6.07,59.54,2510
HT100008,0.3,-3.12,310
HT100008,5.99,59.96,2503
HT100008,0.24,-3.29,293
HT100008,6.02,61.39,2510
HT100008,0.28,-3.83,309
HT100008,7.69,79.2,3167
HT100008,0.34,-4.52,366
HT100008,10.26,103.4,4151
HT100008,0.34,-3.61,365
HT100008,6.86,66.26,2862
HT100008,0.2,0.43,6184
HT100008,4.26,44.69,1798
HT100008,0.32,-4.23,359
HT100008,8.42,87.46,3471
HT100008,0.37,-4.53,375
HT100008,10.35,108.37,4227
HT100008,0.36,-4.81,397
HT100008,10.65,112.05,4346
HT100008,0.39,-5.48,413
HT100008,12.44,131.9,5018
HT100008,0.37,-4.72,411
HT100008,10.63,114.89,4246
HT100008,0.37,-4.27,390
HT100008,10.34,111.74,4106
HT100008,0.38,-4.06,390
HT100008,8.94,98,3567
HT100008,0.37,-4.06,405
HT100008,8.43,92.93,3350
HT100008,0.33,-4.28,377
HT100008,7.4,83.96,2953
HT100008,0.33,-3.89,371
HT100008,6.81,77.65,2710
HT100008,0.3,-3.41,342
HT100008,6.28,72.11,2510
HT100008,0.42,-3.23,394
HT100008,3.26,36.42,1342
HT100008,0.37,0.1,16964
HT100008,0,0.78,10
HT100008,6.61,82.14,2615
HT100008,0.31,-3.74,330
HT100008,7.93,98.79,3103
HT100008,0.33,-3.67,283
HT100008,4.44,53.85,1790
HT100008,0.2,0.76,7382
HT100008,0,0,5
HT100008,6.99,86.21,2751
HT100008,0.29,-3.81,307
HT100008,6.52,80.85,2590
HT100008,0.3,-4.09,310
HT100008,6.48,80.07,2594
HT100008,0.29,-3.73,309
HT100008,6.53,77.5,2583
HT100008,0.26,-2.95,296
HT100008,6.41,75.26,2527
HT100008,0.29,-3.58,304
HT100008,6.63,79.65,2631
HT100008,0.3,-3.19,304
HT100008,7.11,85.5,2799
HT100008,0.23,-2.92,259
HT100008,7.53,90.4,2955
HT100008,1.57,0.55,64417
HT100008,8.6,106.21,3241
HT100008,1.77,1.2,83656
HT100008,29.28,412.76,12120
HT100008,1.74,0,83884
HT100008,0.01,0,173
HT100008,0.1,0.07,3586
HT100008,0,0.74,10
HT100008,8.73,118.06,3710
HT100008,1.52,0.21,70139
HT100008,0,0,10
HT100008,6.36,83.22,2739
HT100008,0.05,0.38,94
HT100008,2.41,30.09,1090
HT100008,4.02,0.66,161576
HT100008,216.57,2521.35,87714
HT100008,0.27,-1.64,263
HT100008,2.54,28.91,1091
HT100008,0.22,0.71,9649
HT100008,0.03,0,10
HT100008,12.67,159.29,4910
HT100008,0.3,-2.95,299
HT100008,6.72,85.92,2691
HT100008,0.21,-0.64,8100
HT100008,0.22,-1.66,235
HT100008,7.66,97.26,3047
HT100008,0.18,0.35,7605
HT100008,0,0,10
HT100008,8.88,116.27,3516
HT100008,0.23,0.31,10124
HT100008,0,0,10
HT100008,13.18,172.77,5137
HT100008,0.32,0.64,14084
HT100008,0,0,10
HT100008,53.49,750.1,21586
HT100008,0.41,0.22,18529
HT100008,0,0.91,9
HT100008,27.5,348.81,10675
HT100008,0.28,0.24,12045
HT100008,0,0,10
HT100008,12.44,159.96,4885
HT100008,0.33,-4.58,314
HT100008,6.97,88.85,2841
HT100008,0.2,0,8405
HT100008,0.01,0.33,49
HT100008,10.68,133.34,4177
HT100008,0.33,0.74,12665
HT100008,14.89,190.11,5635
HT100008,0.32,-3.72,298
HT100008,9.33,117.8,3622
HT100008,0.3,-2.98,299
HT100008,8.72,108.84,3405
HT100008,0.26,-3.55,290
HT100008,7.4,93.4,2947
HT100008,0.29,-4.28,311
HT100008,7.9,97.48,3130
HT100008,0.33,-3.76,332
HT100008,9.41,113.44,3679
HT100008,0.33,-3.72,321
HT100008,9.08,110.78,3538
