采集时间,环境湿度（%）,环境温度（℃）,设备启动数量（台）,供水温度（℃）,回水温度（℃）,瞬时流量（m3/h）,总制热量（GJ）,总耗电量（kW·h),机组耗电(kW·h）,热单耗（GJ/㎡）,电单耗(kW·h/m2）,系统COP,机组COP,除霜时间（s）,除霜次数,
2021-02-04 16时,22.17,4.97,3,40.06,38.05,49.84,0.41,38.4,37,0.01,0.89,2.97,3.08,,,
2021-02-04 17时,22.61,3.71,3,39.93,38.03,49.91,0.39,39.6,37,0.01,0.91,2.74,2.93,,,
2021-02-04 18时,22.66,3.34,3,40.09,38.17,49.85,0.4,39.6,37,0.01,0.91,2.81,3,,,
2021-02-04 19时,23.47,3.67,3,39.76,37.79,49.73,0.41,39.6,37,0.01,0.91,2.88,3.08,,,
2021-02-04 20时,24.36,3.8,3,39.51,37.55,49.72,0.41,38.4,37,0.01,0.89,2.97,3.08,,,
2021-02-04 21时,27.95,3.73,3,39.32,37.36,49.83,0.42,39.6,36,0.01,0.91,2.95,3.24,,,
2021-02-04 22时,29.49,3.76,3,39.04,37.09,49.88,0.41,39.6,37,0.01,0.91,2.88,3.08,,,
2021-02-04 23时,29.95,3.75,3,38.86,36.92,49.76,0.4,38.4,36,0.01,0.89,2.89,3.09,,,
2021-02-05 00时,27.25,3.93,3,38.77,36.82,,,,,,,,,,,
2021-02-05 01时,24.54,4.22,3,38.77,36.81,,,,,,,,,,,
2021-02-05 02时,22.03,4.82,3,38.78,36.81,49.72,0.26,24,23,0.01,0.55,3.01,3.14,,,
2021-02-05 03时,25.19,4.6,3,38.8,36.82,49.86,0.41,38.4,37,0.01,0.89,2.97,3.08,,,
2021-02-05 04时,33.1,3.91,3,38.78,36.82,49.59,0.41,38.4,37,0.01,0.89,2.97,3.08,,,
2021-02-05 05时,40.33,3.41,3,38.69,36.78,49.86,0.4,38.4,36,0.01,0.89,2.89,3.09,,,
2021-02-05 06时,44.81,3.29,5,38.87,36.72,49.77,0.44,44.4,42,0.01,1.02,2.75,2.91,,,
2021-02-05 07时,48.7,3,6,40.7,38.06,49.51,0.54,55.2,53,0.01,1.27,2.72,2.83,,,
2021-02-05 08时,48.12,4,4,40.61,38.53,49.8,0.43,38.4,37,0.01,0.89,3.11,3.23,,,
2021-02-05 09时,42.75,5.45,4,38.38,36.16,49.72,0.46,39.6,38,0.01,0.91,3.23,3.36,,,
2021-02-05 10时,39.07,6.18,7,38.32,35.16,49.35,0.64,60,57,0.01,1.38,2.96,3.12,165,1,
2021-02-05 11时,29.22,9.48,5,38.99,36.07,49.44,0.51,44.4,42,0.01,1.02,3.19,3.37,132,1,
2021-02-05 12时,26.54,9.86,5,38.63,35.78,49.35,0.57,48,47,0.01,1.11,3.3,3.37,,,
2021-02-05 13时,26.38,10.1,5,38.37,35.48,49.68,0.59,46.8,45,0.01,1.08,3.5,3.64,,,
2021-02-05 14时,20.19,10.88,5,37.38,34.41,49.56,0.61,45.6,44,0.01,1.05,3.72,3.85,,,
2021-02-05 15时,21.81,9.95,6,37.52,34.21,49.29,0.67,54,52,0.02,1.25,3.45,3.58,,,
2021-02-05 16时,24.7,8.97,6,37.99,34.68,49.36,0.67,55.2,53,0.02,1.27,3.37,3.51,,,
2021-02-05 17时,30.84,7.3,6,38.84,35.71,49.35,0.64,55.2,54,0.01,1.27,3.22,3.29,,,
2021-02-05 18时,33.2,6.81,5,39.26,36.46,49.55,0.57,50.4,48,0.01,1.16,3.14,3.3,,,
2021-02-05 19时,32.55,6.98,5,39.25,36.57,49.61,0.55,49.2,46,0.01,1.14,3.11,3.32,,,
2021-02-05 20时,32.43,7.15,4,38.92,36.53,49.67,0.5,40.8,39,0.01,0.94,3.4,3.56,,,
2021-02-05 21时,29.99,7.4,4,38.1,35.86,49.66,0.45,38.4,36,0.01,0.89,3.26,3.47,,,
2021-02-05 22时,28.01,7.68,4,37.6,35.37,49.65,0.46,38.4,36,0.01,0.89,3.33,3.55,,,
2021-02-05 23时,27,7.84,4,37.41,35.21,49.65,0.44,38.4,36,0.01,0.89,3.18,3.4,,,
2021-02-06 00时,29.24,7.47,4,37.66,35.48,,,,,,,,,,,
2021-02-06 01时,33.55,6.54,4,37.86,35.72,,,,,,,,,,,
2021-02-06 02时,33.92,6.16,4,38,35.89,,,,,,,,,,,
2021-02-06 03时,32.1,6.07,4,38.11,36,,,,,,,,,,,
2021-02-06 04时,31.19,5.9,4,38.22,36.1,49.56,0.18,16.8,15,0,0.39,2.98,3.33,,,
2021-02-06 05时,29.1,5.88,4,38.28,36.16,49.53,0.43,39.6,37,0.01,0.91,3.02,3.23,,,
2021-02-06 06时,27.42,6.02,4,38.37,36.24,49.61,0.42,38.4,36,0.01,0.89,3.04,3.24,,,
2021-02-06 07时,26.49,6.29,4,38.23,36.09,49.58,0.43,38.4,35,0.01,0.89,3.11,3.41,,,
2021-02-06 08时,25.73,7,4,37.87,35.56,49.66,0.47,40.8,38,0.01,0.94,3.2,3.44,,,
2021-02-06 09时,22.63,8.62,6,38.44,35.32,49.5,0.02,2.4,2,0,0.06,2.31,2.78,,,
2021-02-06 10时,20.53,11.16,4,39.05,36.91,,,,,,,,,,,
2021-02-06 11时,18.52,12.72,3,38.16,36.34,,,,,,,,,,,
2021-02-06 12时,17.31,12.68,3,37.29,35.45,,,,,,,,,,,
2021-02-06 13时,15.69,13.04,4,37.6,35.22,49.52,0.27,22.8,22,0.01,0.53,3.29,3.41,,,
2021-02-06 14时,14.28,13.22,4,38.81,36.53,49.45,0.47,37.2,34,0.01,0.86,3.51,3.84,,,
2021-02-06 15时,14.63,12.55,3,38.42,36.61,49.54,0.37,30,27,0.01,0.69,3.43,3.81,,,
2021-02-06 16时,17.39,11.54,3,38.14,36.39,49.68,0.36,30,27,0.01,0.69,3.33,3.7,,,
2021-02-06 17时,18.87,10.12,3,38.46,36.85,49.51,0.33,30,27,0.01,0.69,3.06,3.4,,,
2021-02-06 18时,20.13,9.65,2,38.78,37.4,49.58,0.28,25.2,23,0.01,0.58,3.09,3.38,,,
2021-02-06 19时,21.99,9.88,2,38.01,36.85,49.57,0.24,20.4,18,0.01,0.47,3.27,3.7,,,
2021-02-06 20时,20.09,10.06,2,37.37,36.23,49.55,0.24,20.4,18,0.01,0.47,3.27,3.7,,,
2021-02-06 21时,18.53,10.18,3,37.22,35.85,49.57,0.28,25.2,23,0.01,0.58,3.09,3.38,,,
2021-02-06 22时,21.59,9.62,3,38.06,36.51,49.56,0.32,28.8,27,0.01,0.66,3.09,3.29,,,
2021-02-06 23时,25.6,9.29,3,38.81,37.25,49.61,0.32,27.6,26,0.01,0.64,3.22,3.42,,,
2021-02-07 00时,29.1,9.16,2,38.52,37.38,,,,,,,,,,,
2021-02-07 01时,33.36,9.04,2,37.92,36.76,,,,,,,,,,,
2021-02-07 02时,35.6,8.56,2,37.51,36.23,49.59,0.14,14.4,12,0,0.33,2.7,3.24,,,
2021-02-07 03时,40.65,8.06,3,38.07,36.52,49.59,0.32,30,28,0.01,0.69,2.96,3.17,,,
2021-02-07 04时,43.03,6.17,3,38.6,37.1,49.55,0.3,30,28,0.01,0.69,2.78,2.98,,,
2021-02-07 05时,52.65,3.05,3,38.6,37.3,49.61,0.27,26.4,24,0.01,0.61,2.84,3.12,,,
2021-02-07 06时,79.44,-1.27,5,38.33,36.66,49.31,0.34,42,40,0.01,0.97,2.25,2.36,,,
2021-02-07 07时,88.09,-2.21,7,40.25,37.94,49.26,0.47,62.4,60,0.01,1.44,2.09,2.18,1831,6,
2021-02-07 08时,79.33,-1.48,6,41.36,39.15,49.36,0.45,56.4,53,0.01,1.3,2.22,2.36,1053,3,
2021-02-07 09时,57.47,0.7,4,39.9,37.93,49.4,0.4,40.8,37,0.01,0.94,2.72,3,,,
2021-02-07 10时,46.23,1.96,6,38.57,36.28,49.24,0.47,50.4,48,0.01,1.16,2.59,2.72,661,2,
2021-02-07 11时,43.95,3.56,7,39.78,36.69,49.27,0.63,63.6,62,0.01,1.47,2.75,2.82,,,
2021-02-07 12时,45.91,3.36,5,39.92,37.48,49.38,0.49,49.2,47,0.01,1.14,2.77,2.9,,,
2021-02-07 13时,46.45,3.13,5,39.65,37.27,49.29,0.48,48,46,0.01,1.11,2.78,2.9,,,
2021-02-07 16时,46.98,0.99,5,38.91,36.78,49.55,0.42,45.6,43,0.01,1.05,2.56,2.71,,,
2021-02-07 17时,51.52,-0.25,5,40.96,38.94,49.37,0.41,46.8,45,0.01,1.08,2.43,2.53,,,
2021-02-07 18时,55.64,-1.2,3,40.89,39.4,49.6,0.31,33.6,32,0.01,0.78,2.56,2.69,,,
2021-02-07 19时,54.51,-1.65,4,39.61,38.13,49.48,0.31,33.6,32,0.01,0.78,2.56,2.69,,,
2021-02-07 20时,44.59,-2.02,5,40.02,38.03,49.23,0.4,48,46,0.01,1.11,2.31,2.42,,,
2021-02-07 21时,39.37,-2.2,4,40.19,38.47,49.57,0.35,39.6,38,0.01,0.91,2.46,2.56,,,
2021-02-07 22时,37.58,-2.4,4,39.82,38.15,49.44,0.35,38.4,37,0.01,0.89,2.53,2.63,,,
2021-02-07 23时,32.53,-2.45,4,39.52,37.84,49.38,0.34,38.4,36,0.01,0.89,2.46,2.62,,,
2021-02-08 00时,29.84,-2.65,4,39.29,37.6,,,,,,,,,,,
2021-02-08 01时,27.36,-2.76,4,39.03,37.34,,,,,,,,,,,
2021-02-08 02时,25.34,-2.89,4,38.82,37.14,,,,,,,,,,,
2021-02-08 03时,23.72,-2.8,4,38.72,37.03,,,,,,,,,,,
2021-02-08 04时,23.05,-2.86,4,38.64,36.92,,,,,,,,,,,
2021-02-08 05时,24.43,-3.28,5,39.02,37.01,,,,,,,,,,,
2021-02-08 06时,26.13,-3.3,5,39.7,37.63,,,,,,,,,,,
2021-02-08 07时,21.71,-2.41,5,40.67,38.63,49.25,0.14,18,16,0,0.42,2.16,2.43,,,
2021-02-08 08时,20.79,-0.84,4,40.7,38.87,49.41,0.31,31.2,30,0.01,0.72,2.76,2.87,,,
2021-02-08 09时,19.64,1.67,5,38.65,36.41,,,,,,,,,,,
2021-02-08 10时,19.87,4.03,6,39.2,36.54,49.18,0.26,25.2,24,0.01,0.58,2.87,3.01,272,2,
2021-02-08 11时,20.96,5.83,5,39.64,37.42,49.45,0.45,44.4,42,0.01,1.02,2.82,2.98,237,1,
2021-02-08 12时,20.46,6.02,4,39.19,37.15,49.51,0.42,39.6,37,0.01,0.91,2.95,3.15,,,
2021-02-08 13时,19.61,6.23,4,39.04,36.99,49.57,0.42,39.6,37,0.01,0.91,2.95,3.15,,,
2021-02-08 14时,19.16,6.49,4,39.04,36.99,49.5,0.42,39.6,37,0.01,0.91,2.95,3.15,,,
2021-02-08 15时,19.41,6.07,4,39.17,37.12,49.59,0.43,39.6,37,0.01,0.91,3.02,3.23,,,
2021-02-08 16时,22.01,4.85,4,39.21,37.21,49.53,0.41,38.4,37,0.01,0.89,2.97,3.08,,,
2021-02-08 17时,26.4,3.14,4,39.7,37.85,49.53,0.38,38.4,37,0.01,0.89,2.75,2.85,,,
2021-02-08 18时,30.33,1.7,4,40.39,38.74,49.53,0.34,34.8,33,0.01,0.8,2.71,2.86,,,
2021-02-08 19时,31.6,1.25,3,39.96,38.54,49.52,0.29,30,29,0.01,0.69,2.69,2.78,,,
2021-02-08 20时,31.84,1.11,3,39.68,38.31,49.48,0.28,31.2,28,0.01,0.72,2.49,2.78,,,
2021-02-08 21时,32.25,0.75,3,39.48,38.3,49.51,0.24,26.4,23,0.01,0.61,2.53,2.9,,,
2021-02-08 22时,35.2,0.03,2,38.32,37.41,49.49,0.19,21.6,19,0,0.5,2.44,2.78,,,
2021-02-08 23时,37.91,-0.35,3,37.81,36.58,49.47,0.25,28.8,27,0.01,0.66,2.41,2.57,,,
2021-02-09 00时,38.74,-0.54,4,38.73,37.08,,,,,,,,,,,
2021-02-09 01时,38.53,-0.57,4,39.58,38.02,,,,,,,,,,,
2021-02-09 02时,40.91,-0.87,3,39.42,38.11,49.5,0.25,26.4,26,0.01,0.61,2.63,2.67,,,
2021-02-09 03时,45.05,-1.12,3,39.07,37.76,49.49,0.28,30,28,0.01,0.69,2.59,2.78,,,
2021-02-09 04时,47.42,-1.32,3,38.72,37.42,49.57,0.27,30,27,0.01,0.69,2.5,2.78,,,
2021-02-09 05时,45.09,-1.08,3,38.44,37.13,49.52,0.28,30,28,0.01,0.69,2.59,2.78,,,
2021-02-09 06时,51.34,-1.51,4,38.87,37.07,49.38,0.37,42,40,0.01,0.97,2.45,2.57,,,
2021-02-09 07时,45.98,-0.84,5,40.04,37.93,49.36,0.43,48,46,0.01,1.11,2.49,2.6,,,
2021-02-09 08时,41.14,0.16,5,40.6,38.43,49.39,0.44,45.6,43,0.01,1.05,2.68,2.84,,,
2021-02-09 09时,40.62,1.31,5,39.02,36.77,49.37,0.4,38.4,36,0.01,0.89,2.89,3.09,,,
2021-02-09 10时,38.89,3.16,6,39.21,36.41,49.18,0.52,50.4,48,0.01,1.16,2.87,3.01,,,
2021-02-09 11时,34.13,4.85,5,39.86,37.35,49.24,0.51,48,46,0.01,1.11,2.95,3.08,,,
2021-02-09 12时,29.2,5.99,4,39.61,37.59,49.51,0.42,39.6,37,0.01,0.91,2.95,3.15,,,
2021-02-09 13时,24.46,7.13,3,39.18,37.45,49.44,0.35,32.4,29,0.01,0.75,3,3.35,,,
2021-02-09 14时,22.49,7.5,3,38.32,36.68,49.58,0.34,30,28,0.01,0.69,3.15,3.37,,,
2021-02-09 15时,21.47,6.74,4,37.74,35.8,49.49,0.4,36,33,0.01,0.83,3.09,3.37,,,
2021-02-09 16时,21.33,5.87,4,38.06,36.06,49.5,0.41,38.4,36,0.01,0.89,2.97,3.16,,,
2021-02-09 17时,24.78,4.36,4,39.16,37.33,49.48,0.37,38.4,36,0.01,0.89,2.68,2.85,,,
2021-02-09 18时,27.72,3.92,3,39.88,38.53,49.4,0.27,26.4,25,0.01,0.61,2.84,3,,,
2021-02-09 19时,29.64,3.89,2,38.87,37.83,49.34,0.22,20.4,19,0.01,0.47,3,3.22,,,
2021-02-09 20时,32.43,3.52,3,38.49,37.18,49.43,0.27,27.6,26,0.01,0.64,2.72,2.88,,,
2021-02-09 21时,36.84,3.17,3,38.83,37.42,49.49,0.29,30,27,0.01,0.69,2.69,2.98,,,
2021-02-09 22时,40.9,3.03,2,38.87,37.67,49.53,0.25,25.2,23,0.01,0.58,2.76,3.02,,,
2021-02-09 23时,47.93,3.29,2,38.05,37.04,49.5,0.21,20.4,19,0,0.47,2.86,3.07,,,
2021-02-10 00时,55.83,3.31,2,37.25,36.15,49.26,0.01,1.2,1,0,0.03,2.31,2.78,,,
2021-02-10 01时,60.5,3.17,3,37.38,35.97,49.48,0.29,30,28,0.01,0.69,2.69,2.88,,,
2021-02-10 02时,64.07,3.17,3,37.52,36.21,49.6,0.27,30,28,0.01,0.69,2.5,2.68,517,2,
2021-02-10 03时,66.99,3.05,4,38.35,36.62,49.49,0.36,37.2,36,0.01,0.86,2.69,2.78,309,1,
2021-02-10 04时,69.58,3,4,38.9,37.42,49.45,0.31,33.6,32,0.01,0.78,2.56,2.69,887,3,
2021-02-10 05时,71.46,2.72,3,38.57,37.38,49.38,0.25,28.8,26,0.01,0.66,2.41,2.67,953,3,
2021-02-10 06时,72.72,2.76,4,38.37,37.03,49.45,0.28,33.6,32,0.01,0.78,2.31,2.43,888,3,
2021-02-10 07时,71.38,2.69,5,39.97,37.94,49.46,0.41,45.6,44,0.01,1.05,2.5,2.59,303,1,
2021-02-10 08时,67.32,3.42,3,39.77,38.46,49.45,0.27,28.8,27,0.01,0.66,2.6,2.78,885,3,
2021-02-10 09时,64.31,5.24,3,38.56,37.2,49.54,0.28,28.8,26,0.01,0.66,2.7,2.99,959,3,
2021-02-10 10时,51.73,8.16,4,38.21,36.22,49.47,0.41,38.4,36,0.01,0.89,2.97,3.16,,,
2021-02-10 11时,44.19,10.02,4,38.75,36.94,49.48,0.38,34.8,33,0.01,0.8,3.03,3.2,500,2,
2021-02-10 12时,38.47,11.09,3,38.51,36.98,49.54,0.31,27.6,25,0.01,0.64,3.12,3.44,,,
2021-02-10 13时,33.81,12.22,3,38.45,36.89,49.47,0.32,28.8,26,0.01,0.66,3.09,3.42,,,
2021-02-10 14时,32.55,12.24,3,38.8,37.17,49.33,0.34,27.6,26,0.01,0.64,3.42,3.63,,,
2021-02-10 15时,33.02,11.7,2,38.32,37.15,49.53,0.25,19.2,18,0.01,0.44,3.62,3.86,,,
2021-02-10 16时,36.38,10.58,2,37.58,36.41,49.44,0.24,19.2,17,0.01,0.44,3.47,3.92,,,
2021-02-10 17时,43.05,8.37,3,37.52,36.19,49.52,0.27,26.4,23,0.01,0.61,2.84,3.26,,,
2021-02-10 18时,49.1,6.53,3,38.48,37.02,49.34,0.3,30,27,0.01,0.69,2.78,3.09,,,
2021-02-10 19时,51.39,5.75,3,39.11,37.64,49.35,0.3,30,28,0.01,0.69,2.78,2.98,,,
2021-02-10 20时,51.58,5.55,3,39.27,37.94,49.59,0.28,26.4,24,0.01,0.61,2.95,3.24,,,
2021-02-10 21时,50.05,5.61,1,37.63,37,49.37,0.14,12,10,0,0.28,3.24,3.89,,,
2021-02-10 22时,45.51,5.97,3,36.82,35.59,49.47,0.25,27.6,25,0.01,0.64,2.52,2.78,255,1,
2021-02-10 23时,47.16,6.12,3,38.06,36.41,49.41,0.33,31.2,29,0.01,0.72,2.94,3.16,,,
2021-02-11 00时,53.04,5.95,2,37.57,36.49,,,,,,,,,,,
2021-02-11 01时,56.37,5.61,2,36.86,35.77,49.43,0.22,20.4,19,0.01,0.47,3,3.22,,,
2021-02-11 02时,58.86,5.43,3,37.09,35.63,49.52,0.29,28.8,27,0.01,0.66,2.8,2.98,,,
2021-02-11 03时,62.13,4.96,3,37.32,36.01,49.45,0.27,28.8,26,0.01,0.66,2.6,2.88,615,2,
2021-02-11 04时,66.14,4.41,4,37.99,36.21,49.51,0.37,38.4,36,0.01,0.89,2.68,2.85,313,1,
2021-02-11 05时,66.54,4.35,3,38.75,37.19,49.41,0.32,32.4,30,0.01,0.75,2.74,2.96,698,2,
2021-02-11 06时,67.97,4.07,3,38.14,36.79,49.48,0.28,28.8,27,0.01,0.66,2.7,2.88,286,1,
2021-02-11 07时,64.91,4.35,4,38.57,36.96,49.38,0.33,36,34,0.01,0.83,2.55,2.7,993,3,
2021-02-11 08时,54.8,5.47,4,39.38,37.53,49.49,0.38,37.2,36,0.01,0.86,2.84,2.93,,,
2021-02-11 09时,47.1,7.17,3,39.4,37.9,49.4,0.31,28.8,27,0.01,0.66,2.99,3.19,309,1,
2021-02-11 10时,37.43,9.75,3,38.81,37.51,49.52,0.27,26.4,24,0.01,0.61,2.84,3.12,226,1,
2021-02-11 11时,28.69,11.65,2,37.92,36.79,49.37,0.24,20.4,18,0.01,0.47,3.27,3.7,,,
2021-02-11 12时,25.97,12.51,2,37.25,36.03,49.29,0.25,21.6,19,0.01,0.5,3.22,3.65,,,
2021-02-11 13时,23.6,13.18,3,37.2,35.93,49.44,0.26,21.6,20,0.01,0.5,3.34,3.61,,,
2021-02-11 14时,22.99,13.42,3,37.59,36.07,49.49,0.3,27.6,26,0.01,0.64,3.02,3.21,,,
2021-02-11 15时,29.23,12.4,2,38.76,37.45,49.49,0.27,24,22,0.01,0.55,3.13,3.41,,,
2021-02-11 16时,35.17,11.03,2,38.9,37.82,49.37,0.22,20.4,18,0.01,0.47,3,3.4,,,
2021-02-11 17时,37,9.62,2,38.88,37.82,49.42,0.22,20.4,18,0.01,0.47,3,3.4,,,
2021-02-11 18时,39.15,8.82,2,38.85,37.76,49.43,0.23,20.4,19,0.01,0.47,3.13,3.36,,,
2021-02-11 19时,36.92,8.13,1,38.77,37.75,49.51,0.22,20.4,19,0.01,0.47,3,3.22,,,
2021-02-11 20时,49.01,7.23,0,38.11,37.39,49.38,0.15,13.2,12,0,0.3,3.16,3.47,,,
2021-02-11 21时,55.5,7.01,0,36.72,36.1,49.32,0.13,12,11,0,0.28,3.01,3.28,,,
2021-02-11 22时,61.07,6.73,2,36.57,35.38,49.45,0.24,24,22,0.01,0.55,2.78,3.03,,,
2021-02-11 23时,68.14,6.79,2,36.98,35.91,49.51,0.22,21.6,19,0.01,0.5,2.83,3.22,338,1,
2021-02-12 00时,74.74,7.27,3,37.52,36.28,,,,,,,,,,,
2021-02-12 01时,80.17,7.18,2,37.25,36.41,49.43,0.16,16.8,15,0,0.39,2.65,2.96,406,1,
2021-02-12 02时,81.35,7.34,2,36.71,35.83,49.32,0.15,15.6,13,0,0.36,2.67,3.21,470,1,
2021-02-12 03时,83.44,7.29,2,36.22,35.28,49.59,0.19,20.4,19,0,0.47,2.59,2.78,436,1,
2021-02-12 04时,81.41,6.89,3,36.75,35.53,49.39,0.24,26.4,25,0.01,0.61,2.53,2.67,466,1,
2021-02-12 05时,79.81,6.45,3,36.93,35.76,49.37,0.24,26.4,25,0.01,0.61,2.53,2.67,708,2,
2021-02-12 06时,79.63,5.97,4,37.34,36.05,49.48,0.26,30,28,0.01,0.69,2.41,2.58,1118,3,
2021-02-12 07时,77.66,6.03,4,38.31,36.75,49.37,0.32,33.6,31,0.01,0.78,2.65,2.87,570,2,
2021-02-12 08时,77.85,6.71,3,38.42,37.04,49.4,0.29,26.4,24,0.01,0.61,3.05,3.36,20,1,
2021-02-12 09时,73.77,7.92,3,38.24,36.89,49.39,0.28,25.2,23,0.01,0.58,3.09,3.38,262,1,
2021-02-12 10时,65.82,10.25,2,37.69,36.46,49.46,0.23,20.4,17,0.01,0.47,3.13,3.76,,,
2021-02-12 11时,58.77,12.1,2,36.71,35.67,49.47,0.17,14.4,13,0,0.33,3.28,3.63,,,
2021-02-12 12时,53.89,12.6,3,36.68,35.26,49.39,0.27,25.2,22,0.01,0.58,2.98,3.41,,,
2021-02-12 13时,50.56,12.93,3,37.46,36.03,49.34,0.28,25.2,22,0.01,0.58,3.09,3.54,,,
2021-02-12 14时,50.22,12.94,2,37.21,36.09,49.33,0.23,19.2,18,0.01,0.44,3.33,3.55,,,
2021-02-12 15时,52,12.54,2,36.68,35.67,49.42,0.21,19.2,17,0,0.44,3.04,3.43,281,1,
2021-02-12 16时,56.13,11.76,3,37.11,35.59,49.41,0.31,27.6,26,0.01,0.64,3.12,3.31,,,
2021-02-12 17时,63.67,10.43,1,37.25,36.38,49.34,0.18,14.4,12,0,0.33,3.47,4.17,,,
2021-02-12 18时,68.96,9.23,2,36.39,35.37,49.41,0.21,20.4,19,0,0.47,2.86,3.07,,,
2021-02-12 19时,71.52,8.84,2,36.94,35.91,49.35,0.21,19.2,17,0,0.44,3.04,3.43,,,
2021-02-12 20时,73.91,8.47,2,36.72,35.82,49.37,0.19,18,15,0,0.42,2.93,3.52,47,1,
2021-02-12 21时,76.05,8.11,2,36.18,35.26,49.34,0.18,18,15,0,0.42,2.78,3.33,,,
2021-02-12 22时,78.6,7.72,2,35.83,34.93,49.38,0.18,18,15,0,0.42,2.78,3.33,,,
2021-02-12 23时,79.42,7.51,3,35.92,34.67,49.47,0.24,24,22,0.01,0.55,2.78,3.03,,,
2021-02-13 00时,79.56,7.29,3,36.11,34.86,,,,,,,,,415,1,
2021-02-13 01时,79.95,6.93,4,37.62,35.98,49.51,0.27,27.6,26,0.01,0.64,2.72,2.88,456,1,
2021-02-13 02时,80.94,6.77,2,37.34,36.43,49.43,0.17,18,16,0,0.42,2.62,2.95,735,2,
2021-02-13 03时,82.19,6.49,2,36.65,35.71,49.39,0.13,14.4,13,0,0.33,2.51,2.78,313,1,
2021-02-13 06时,89.2,5.77,3,37.16,35.89,,,,,,,,,,,
2021-02-13 07时,89.21,6.25,1,36.26,35.53,,,,,,,,,,,
2021-02-13 08时,86.85,7.17,4,36.63,34.93,49.42,0.1,8.4,8,0,0.19,3.31,3.47,,,
2021-02-13 09时,85.63,7.56,4,37.33,35.41,49.49,0.39,34.8,34,0.01,0.8,3.11,3.19,,,
2021-02-13 10时,83.96,8.13,4,37.16,35.31,49.42,0.37,32.4,30,0.01,0.75,3.17,3.43,112,1,
2021-02-13 11时,78.95,9.36,4,36.73,34.83,49.4,0.34,28.8,26,0.01,0.66,3.28,3.63,,,
2021-02-13 12时,68.61,11.49,4,36.56,34.5,49.42,0.42,34.8,33,0.01,0.8,3.35,3.54,,,
2021-02-13 13时,63.11,11.99,4,36.95,34.93,49.34,0.41,34.8,33,0.01,0.8,3.27,3.45,,,
2021-02-13 14时,63.76,11.56,4,37.54,35.54,49.31,0.4,34.8,33,0.01,0.8,3.19,3.37,,,
2021-02-13 15时,64.07,11.14,3,37.15,35.52,49.31,0.34,26.4,24,0.01,0.61,3.58,3.94,,,
2021-02-13 16时,67.02,10.3,4,36.2,34.26,49.3,0.39,33.6,31,0.01,0.78,3.22,3.49,,,
2021-02-13 17时,71.46,9.12,5,37.41,35.15,49.34,0.46,42,39,0.01,0.97,3.04,3.28,,,
2021-02-13 18时,74.77,8.77,4,37.87,36.21,49.48,0.34,30,28,0.01,0.69,3.15,3.37,286,1,
2021-02-13 19时,78.7,8.32,3,37.34,35.84,49.56,0.3,26.4,24,0.01,0.61,3.16,3.47,,,
2021-02-13 20时,81.73,7.87,3,36.74,35.32,49.47,0.29,25.2,23,0.01,0.58,3.2,3.5,,,
2021-02-13 21时,83.14,7.73,4,36.53,35.01,49.41,0.31,30,28,0.01,0.69,2.87,3.08,360,1,
2021-02-13 22时,83.94,7.62,3,37.17,35.65,49.35,0.31,27.6,26,0.01,0.64,3.12,3.31,,,
2021-02-13 23时,84.88,7.71,3,37.06,35.71,49.45,0.27,25.2,23,0.01,0.58,2.98,3.26,,,
2021-02-14 00时,86.08,7.35,3,37.08,35.77,49.37,0.07,7.2,7,0,0.17,2.7,2.78,376,1,
2021-02-14 01时,86.78,7.13,3,37.02,35.58,49.4,0.29,26.4,25,0.01,0.61,3.05,3.22,,,
2021-02-14 02时,87.64,6.96,3,36.59,35.33,49.37,0.25,25.2,23,0.01,0.58,2.76,3.02,746,2,
2021-02-14 03时,89.41,6.7,3,36.42,35.06,49.37,0.28,26.4,24,0.01,0.61,2.95,3.24,375,1,
2021-02-14 04时,92.15,5.87,4,36.88,35.24,49.34,0.33,34.8,34,0.01,0.8,2.63,2.7,383,1,
2021-02-14 05时,95.27,5.89,5,38.06,36.15,49.34,0.39,39.6,37,0.01,0.91,2.74,2.93,675,2,
2021-02-14 06时,95.78,5.96,3,38.29,36.82,49.28,0.3,28.8,26,0.01,0.66,2.89,3.21,,,
2021-02-14 07时,95.89,5.83,3,38.14,36.68,49.42,0.31,28.8,27,0.01,0.66,2.99,3.19,,,
2021-02-14 08时,95.05,6.13,4,37.98,36.41,49.45,0.32,33.6,31,0.01,0.78,2.65,2.87,693,2,
2021-02-14 09时,94.25,6.61,4,38.95,37.27,49.45,0.34,32.4,30,0.01,0.75,2.91,3.15,,,
2021-02-14 10时,84.08,9.27,2,38.16,37.17,49.4,0.2,20.4,18,0,0.47,2.72,3.09,700,2,
2021-02-14 11时,77.46,10.49,2,37.04,36.23,49.47,0.16,15.6,12,0,0.36,2.85,3.7,,,
2021-02-14 12时,69.32,12.03,2,36.58,35.54,49.31,0.21,19.2,18,0,0.44,3.04,3.24,,,
2021-02-14 13时,72.08,10.57,2,36.92,35.81,49.43,0.22,19.2,17,0.01,0.44,3.18,3.59,87,1,
2021-02-14 14时,74.52,10.27,2,36.52,35.57,49.3,0.19,16.8,15,0,0.39,3.14,3.52,335,1,
2021-02-14 15时,79.77,9.77,4,36.2,34.66,49.31,0.31,30,27,0.01,0.69,2.87,3.19,,,
2021-02-14 16时,80.8,8.75,4,37.11,35.46,49.26,0.33,32.4,30,0.01,0.75,2.83,3.06,5,1,
