采集时间,环境湿度（%）,环境温度（℃）,设备启动数量（台）,供水温度（℃）,回水温度（℃）,瞬时流量（m3/h）,总制热量（GJ）,总耗电量（kW·h),机组耗电(kW·h）,热单耗（GJ/㎡）,电单耗(kW·h/m2）,系统COP,机组COP,除霜时间（s）,除霜次数,
2021-01-28 11时,25.47,-0.91,7,40.42,37.32,46.33,0.59,63.6,62,0.01,1.47,2.58,2.64,264,2,
2021-01-28 12时,22.76,-1.29,6,40.22,37.42,46.44,0.54,56.4,54,0.01,1.3,2.66,2.78,,,
2021-01-28 13时,20.94,-1.32,6,40.22,37.44,46.47,0.53,56.4,54,0.01,1.3,2.61,2.73,,,
2021-01-28 14时,19.66,-1.63,6,40.32,37.56,46.41,0.53,56.4,55,0.01,1.3,2.61,2.68,,,
2021-01-28 15时,18.86,-2.07,6,40.38,37.66,46.42,0.52,55.2,54,0.01,1.27,2.62,2.67,,,
2021-01-28 16时,19.58,-2.89,6,40.32,37.58,46.49,0.52,56.4,54,0.01,1.3,2.56,2.67,,,
2021-01-28 17时,20.49,-4.12,6,40.53,37.99,46.52,0.49,56.4,54,0.01,1.3,2.41,2.52,,,
2021-01-28 18时,22.77,-4.9,5,40.87,38.57,46.35,0.44,50.4,48,0.01,1.16,2.43,2.55,,,
2021-01-28 19时,21.77,-4.59,5,40.51,38.31,46.45,0.42,49.2,46,0.01,1.14,2.37,2.54,,,
2021-01-28 20时,20.32,-4.11,5,40.96,38.56,46.43,0.46,52.8,50,0.01,1.22,2.42,2.56,,,
2021-01-28 21时,22.28,-4.21,4,40.1,38.25,46.55,0.36,39.6,37,0.01,0.91,2.53,2.7,,,
2021-01-28 22时,19.53,-3.34,4,39.08,37.2,46.58,0.36,38.4,36,0.01,0.89,2.6,2.78,,,
2021-01-28 23时,20.47,-3.08,5,38.41,36.36,46.48,0.4,42,41,0.01,0.97,2.65,2.71,,,
2021-01-29 00时,21.38,-3.01,5,38.72,36.5,46.54,0.43,45.6,44,0.01,1.05,2.62,2.71,,,
2021-01-29 01时,22.5,-3.12,5,38.98,36.74,46.58,0.44,46.8,44,0.01,1.08,2.61,2.78,,,
2021-01-29 02时,24.77,-2.83,5,39.03,36.79,46.43,0.44,46.8,45,0.01,1.08,2.61,2.72,,,
2021-01-29 03时,28.18,-2.59,5,39.11,36.84,46.49,0.44,46.8,45,0.01,1.08,2.61,2.72,,,
2021-01-29 04时,31.15,-2.6,5,39.19,36.92,46.51,0.44,46.8,44,0.01,1.08,2.61,2.78,,,
2021-01-29 05时,33.92,-2.62,5,39.24,36.97,46.49,0.44,46.8,45,0.01,1.08,2.61,2.72,,,
2021-01-29 06时,36.13,-2.75,5,39.29,37,46.49,0.45,46.8,46,0.01,1.08,2.67,2.72,,,
2021-01-29 07时,37.06,-2.53,6,40.13,37.48,46.39,0.5,56.4,54,0.01,1.3,2.46,2.57,,,
2021-01-29 08时,37.96,-2.02,6,40.71,37.88,46.51,0.49,45.6,43,0.01,1.05,2.98,3.17,,,
2021-01-29 11时,9.4,1.61,1,13.73,13.44,14.08,0.07,2.4,2,0,0.06,8.1,9.72,,,
2021-01-29 12时,27.19,3.73,4,25.93,24.21,48.21,0.31,30,28,0.01,0.69,2.87,3.08,,,
2021-01-29 13时,26.23,4.84,7,29.5,26.74,47.87,0.52,48,47,0.01,1.11,3.01,3.07,123,1,
2021-01-29 14时,28.34,4.24,8,34.35,30.77,48.06,0.69,66,62,0.02,1.52,2.9,3.09,,,
2021-01-29 15时,28.1,4.29,8,38.34,34.6,48.19,0.74,70.8,66,0.02,1.63,2.9,3.11,,,
2021-01-29 16时,32.34,3.89,6,39.6,36.72,48.44,0.58,55.2,50,0.01,1.27,2.92,3.22,,,
2021-01-29 17时,38.32,2.14,4,40.23,38.23,48.54,0.4,42,38,0.01,0.97,2.65,2.92,,,
2021-01-29 18时,37.43,2.48,2,39.46,38.3,48.7,0.24,22.8,20,0.01,0.53,2.92,3.33,,,
