ÈÈ±Ã±àºÅ,¹¤×÷×´Ì¬,½áÊøµç±íÊý(kWh),½áÊøÈÈ±íÊý(MJ),ÓÃµçÁ¿(kWh),ÖÆÈÈÁ¿(MJ),ÔËÐÐÊ±¼ä
HT100008,ÖÆÈÈ×´Ì¬,10978.18,100907.95,4.44,53.85,1790
HT100008,´ý»ú×´Ì¬,10973.74,100854.1,0.2,0.76,7382
HT100008,³ýËª×´Ì¬,10973.54,100853.34,0,0,5
HT100008,ÖÆÈÈ×´Ì¬,10973.54,100853.34,6.99,86.21,2751
HT100008,³ýËª×´Ì¬,10966.55,100767.13,0.29,-3.81,307
HT100008,ÖÆÈÈ×´Ì¬,10966.26,100770.94,6.52,80.85,2590
HT100008,³ýËª×´Ì¬,10959.74,100690.09,0.3,-4.09,310
HT100008,ÖÆÈÈ×´Ì¬,10959.44,100694.18,6.48,80.07,2594
HT100008,³ýËª×´Ì¬,10952.96,100614.11,0.29,-3.73,309
HT100008,ÖÆÈÈ×´Ì¬,10952.67,100617.84,6.53,77.5,2583
HT100008,³ýËª×´Ì¬,10946.14,100540.34,0.26,-2.95,296
HT100008,ÖÆÈÈ×´Ì¬,10945.88,100543.29,6.41,75.26,2527
HT100008,³ýËª×´Ì¬,10939.47,100468.03,0.29,-3.58,304
HT100008,ÖÆÈÈ×´Ì¬,10939.18,100471.61,6.63,79.65,2631
HT100008,³ýËª×´Ì¬,10932.55,100391.96,0.3,-3.19,304
HT100008,ÖÆÈÈ×´Ì¬,10932.25,100395.15,7.11,85.5,2799
HT100008,³ýËª×´Ì¬,10925.14,100309.65,0.23,-2.92,259
HT100008,ÖÆÈÈ×´Ì¬,10924.91,100312.57,7.53,90.4,2955
HT100008,´ý»ú×´Ì¬,10917.38,100222.17,1.57,0.55,64417
HT100008,ÖÆÈÈ×´Ì¬,10915.81,100221.62,8.6,106.21,3241
HT100008,´ý»ú×´Ì¬,10907.21,100115.41,1.77,1.2,83656
HT100008,ÖÆÈÈ×´Ì¬,10905.44,100114.21,29.28,412.76,12120
HT100008,´ý»ú×´Ì¬,10876.16,99701.45,1.74,0,83884
HT100008,ÀëÏß×´Ì¬,10874.42,99701.45,0.01,0,173
HT100008,´ý»ú×´Ì¬,10874.41,99701.45,0.1,0.07,3586
HT100008,³ýËª×´Ì¬,10874.31,99701.38,0,0.74,10
HT100008,ÖÆÈÈ×´Ì¬,10874.31,99700.64,8.73,118.06,3710
HT100008,´ý»ú×´Ì¬,10865.58,99582.58,1.52,0.21,70139
HT100008,³ýËª×´Ì¬,10864.06,99582.37,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,10864.06,99582.37,6.36,83.22,2739
HT100008,³ýËª×´Ì¬,10857.7,99499.15,0.05,0.38,94
HT100008,ÖÆÈÈ×´Ì¬,10857.65,99498.77,2.41,30.09,1090
HT100008,´ý»ú×´Ì¬,10855.24,99468.68,4.02,0.66,161576
HT100008,ÖÆÈÈ×´Ì¬,10851.22,99468.02,216.57,2521.35,87714
HT100008,³ýËª×´Ì¬,10634.65,96946.67,0.27,-1.64,263
HT100008,ÖÆÈÈ×´Ì¬,10634.38,96948.31,2.54,28.91,1091
HT100008,´ý»ú×´Ì¬,10631.84,96919.4,0.22,0.71,9649
HT100008,³ýËª×´Ì¬,10631.62,96918.69,0.03,0,10
HT100008,ÖÆÈÈ×´Ì¬,10631.59,96918.69,12.67,159.29,4910
HT100008,³ýËª×´Ì¬,10618.92,96759.4,0.3,-2.95,299
HT100008,ÖÆÈÈ×´Ì¬,10618.62,96762.35,6.72,85.92,2691
HT100008,´ý»ú×´Ì¬,10611.9,96676.43,0.21,-0.64,8100
HT100008,³ýËª×´Ì¬,10611.69,96677.07,0.22,-1.66,235
HT100008,ÖÆÈÈ×´Ì¬,10611.47,96678.73,7.66,97.26,3047
HT100008,´ý»ú×´Ì¬,10603.81,96581.47,0.18,0.35,7605
HT100008,³ýËª×´Ì¬,10603.63,96581.12,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,10603.63,96581.12,8.88,116.27,3516
HT100008,´ý»ú×´Ì¬,10594.75,96464.85,0.23,0.31,10124
HT100008,³ýËª×´Ì¬,10594.52,96464.54,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,10594.52,96464.54,13.18,172.77,5137
HT100008,´ý»ú×´Ì¬,10581.34,96291.77,0.32,0.64,14084
HT100008,³ýËª×´Ì¬,10581.02,96291.13,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,10581.02,96291.13,53.49,750.1,21586
HT100008,´ý»ú×´Ì¬,10527.53,95541.03,0.41,0.22,18529
HT100008,³ýËª×´Ì¬,10527.12,95540.81,0,0.91,9
HT100008,ÖÆÈÈ×´Ì¬,10527.12,95539.9,27.5,348.81,10675
HT100008,´ý»ú×´Ì¬,10499.62,95191.09,0.28,0.24,12045
HT100008,³ýËª×´Ì¬,10499.34,95190.85,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,10499.34,95190.85,12.44,159.96,4885
HT100008,³ýËª×´Ì¬,10486.9,95030.89,0.33,-4.58,314
HT100008,ÖÆÈÈ×´Ì¬,10486.57,95035.47,6.97,88.85,2841
HT100008,´ý»ú×´Ì¬,10479.6,94946.62,0.2,0,8405
HT100008,³ýËª×´Ì¬,10479.4,94946.62,0.01,0.33,49
HT100008,ÖÆÈÈ×´Ì¬,10479.39,94946.29,10.68,133.34,4177
HT100008,´ý»ú×´Ì¬,10468.71,94812.95,0.33,0.74,12665
HT100008,ÖÆÈÈ×´Ì¬,10468.38,94812.21,14.89,190.11,5635
HT100008,³ýËª×´Ì¬,10453.49,94622.1,0.32,-3.72,298
HT100008,ÖÆÈÈ×´Ì¬,10453.17,94625.82,9.33,117.8,3622
HT100008,³ýËª×´Ì¬,10443.84,94508.02,0.3,-2.98,299
HT100008,ÖÆÈÈ×´Ì¬,10443.54,94511,8.72,108.84,3405
HT100008,³ýËª×´Ì¬,10434.82,94402.16,0.26,-3.55,290
HT100008,ÖÆÈÈ×´Ì¬,10434.56,94405.71,7.4,93.4,2947
HT100008,³ýËª×´Ì¬,10427.16,94312.31,0.29,-4.28,311
HT100008,ÖÆÈÈ×´Ì¬,10426.87,94316.59,7.9,97.48,3130
HT100008,³ýËª×´Ì¬,10418.97,94219.11,0.33,-3.76,332
HT100008,ÖÆÈÈ×´Ì¬,10418.64,94222.87,9.41,113.44,3679
HT100008,³ýËª×´Ì¬,10409.23,94109.43,0.33,-3.72,321
HT100008,ÖÆÈÈ×´Ì¬,10408.9,94113.15,9.08,110.78,3538
HT100008,³ýËª×´Ì¬,10399.82,94002.37,0.33,-3.71,345
HT100008,ÖÆÈÈ×´Ì¬,10399.49,94006.08,9.89,120.78,3830
HT100008,³ýËª×´Ì¬,10389.6,93885.3,0.35,-4.27,318
HT100008,ÖÆÈÈ×´Ì¬,10389.25,93889.57,9.56,118.34,3739
HT100008,³ýËª×´Ì¬,10379.69,93771.23,0.25,-2.53,250
HT100008,ÖÆÈÈ×´Ì¬,10379.44,93773.76,11.02,136.97,4302
HT100008,´ý»ú×´Ì¬,10368.42,93636.79,1.27,0,50453
HT100008,³ýËª×´Ì¬,10367.15,93636.79,0.01,0.38,49
HT100008,ÖÆÈÈ×´Ì¬,10367.14,93636.41,220.71,2633.41,92926
HT100008,³ýËª×´Ì¬,10146.43,91003,0.16,-0.9,164
HT100008,ÖÆÈÈ×´Ì¬,10146.27,91003.9,9.2,104.03,3859
HT100008,´ý»ú×´Ì¬,10137.07,90899.87,0.83,1.38,33320
HT100008,ÖÆÈÈ×´Ì¬,10136.24,90898.49,4.63,56.5,1795
HT100008,³ýËª×´Ì¬,10131.61,90841.99,0.33,-4.47,297
HT100008,ÖÆÈÈ×´Ì¬,10131.28,90846.46,5.94,74.42,2373
HT100008,´ý»ú×´Ì¬,10125.34,90772.04,0.19,0,7980
HT100008,³ýËª×´Ì¬,10125.15,90772.04,0.01,0.33,54
HT100008,ÖÆÈÈ×´Ì¬,10125.14,90771.71,5.34,68.46,2194
HT100008,´ý»ú×´Ì¬,10119.8,90703.25,0.24,1.32,9785
HT100008,ÖÆÈÈ×´Ì¬,10119.56,90701.93,9.48,121.58,3715
HT100008,³ýËª×´Ì¬,10110.08,90580.35,0.34,-4.36,289
HT100008,ÖÆÈÈ×´Ì¬,10109.74,90584.71,7.57,99.32,3070
HT100008,´ý»ú×´Ì¬,10102.17,90485.39,0.19,0.12,7965
HT100008,³ýËª×´Ì¬,10101.98,90485.27,0,0.83,9
HT100008,ÖÆÈÈ×´Ì¬,10101.98,90484.44,10.85,142.73,4283
HT100008,´ý»ú×´Ì¬,10091.13,90341.71,0.19,0.54,8084
HT100008,³ýËª×´Ì¬,10090.94,90341.17,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,10090.94,90341.17,12.43,165.47,4933
HT100008,´ý»ú×´Ì¬,10078.51,90175.7,0.29,-0.44,11580
HT100008,³ýËª×´Ì¬,10078.22,90176.14,0.11,-0.06,175
HT100008,ÖÆÈÈ×´Ì¬,10078.11,90176.2,8.12,99.45,3165
HT100008,³ýËª×´Ì¬,10069.99,90076.75,0.29,-3.92,280
HT100008,ÖÆÈÈ×´Ì¬,10069.7,90080.67,9.41,118.32,3671
HT100008,´ý»ú×´Ì¬,10060.29,89962.35,0.73,0.28,33524
HT100008,³ýËª×´Ì¬,10059.56,89962.07,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,10059.56,89962.07,18.97,247.13,7349
HT100008,´ý»ú×´Ì¬,10040.59,89714.94,0.98,0.1,46837
HT100008,³ýËª×´Ì¬,10039.61,89714.84,0,0.78,10
HT100008,ÖÆÈÈ×´Ì¬,10039.61,89714.06,12.8,160.53,4977
HT100008,³ýËª×´Ì¬,10026.81,89553.53,0.37,-3.11,344
HT100008,ÖÆÈÈ×´Ì¬,10026.44,89556.64,2.74,33.05,1150
HT100008,´ý»ú×´Ì¬,10023.7,89523.59,0.23,0.46,10005
HT100008,³ýËª×´Ì¬,10023.47,89523.13,0,0,9
HT100008,ÖÆÈÈ×´Ì¬,10023.47,89523.13,10.69,132.73,4113
HT100008,³ýËª×´Ì¬,10012.78,89390.4,0.35,-4.49,326
HT100008,ÖÆÈÈ×´Ì¬,10012.43,89394.89,7.81,98.43,3078
HT100008,³ýËª×´Ì¬,10004.62,89296.46,0.32,-4.02,320
HT100008,ÖÆÈÈ×´Ì¬,10004.3,89300.48,8.09,100.96,3139
HT100008,³ýËª×´Ì¬,9996.21,89199.52,0.34,-3.8,321
HT100008,ÖÆÈÈ×´Ì¬,9995.87,89203.32,8.77,106.25,3343
HT100008,³ýËª×´Ì¬,9987.1,89097.07,0.29,-3.99,288
HT100008,ÖÆÈÈ×´Ì¬,9986.81,89101.06,6.6,81.75,2629
HT100008,´ý»ú×´Ì¬,9980.21,89019.31,0.21,0.38,9044
HT100008,³ýËª×´Ì¬,9980,89018.93,0.03,0,10
HT100008,ÖÆÈÈ×´Ì¬,9979.97,89018.93,16.41,214.76,6343
HT100008,³ýËª×´Ì¬,9963.56,88804.17,0.38,-3.95,314
HT100008,ÖÆÈÈ×´Ì¬,9963.18,88808.12,16.03,212.79,6312
HT100008,´ý»ú×´Ì¬,9947.15,88595.33,0.3,0.09,13844
HT100008,³ýËª×´Ì¬,9946.85,88595.24,0.02,0.76,10
HT100008,ÖÆÈÈ×´Ì¬,9946.83,88594.48,9.86,124.37,3864
HT100008,´ý»ú×´Ì¬,9936.97,88470.11,0.29,0.52,12404
HT100008,³ýËª×´Ì¬,9936.68,88469.59,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,9936.68,88469.59,15.32,196.67,5933
HT100008,´ý»ú×´Ì¬,9921.36,88272.92,2.85,0.94,135302
HT100008,ÖÆÈÈ×´Ì¬,9918.51,88271.98,7.78,101.78,3235
HT100008,³ýËª×´Ì¬,9910.73,88170.2,0.12,0.01,105
HT100008,ÖÆÈÈ×´Ì¬,9910.61,88170.19,14.4,191.19,5990
HT100008,³ýËª×´Ì¬,9896.21,87979,0.05,-0.23,94
HT100008,ÖÆÈÈ×´Ì¬,9896.16,87979.23,76.81,954.55,30266
HT100008,´ý»ú×´Ì¬,9819.35,87024.68,1.09,0.54,45490
HT100008,ÖÆÈÈ×´Ì¬,9818.26,87024.14,10.11,134.69,4195
HT100008,³ýËª×´Ì¬,9808.15,86889.45,0.05,-0.51,94
HT100008,ÖÆÈÈ×´Ì¬,9808.1,86889.96,63.35,843.95,24444
HT100008,´ý»ú×´Ì¬,9744.75,86046.01,3.01,0.49,141950
HT100008,ÖÆÈÈ×´Ì¬,9741.74,86045.52,81.37,1144.01,33480
HT100008,´ý»ú×´Ì¬,9660.37,84901.51,2.7,0.15,128922
HT100008,³ýËª×´Ì¬,9657.67,84901.36,0,0.85,9
HT100008,ÖÆÈÈ×´Ì¬,9657.67,84900.51,33.78,456.54,13928
HT100008,³ýËª×´Ì¬,9623.89,84443.97,0.06,0,93
HT100008,ÖÆÈÈ×´Ì¬,9623.83,84443.97,6.54,83.85,2740
HT100008,³ýËª×´Ì¬,9617.29,84360.12,0.05,-0.56,94
HT100008,ÖÆÈÈ×´Ì¬,9617.24,84360.68,8.48,110.22,3623
HT100008,´ý»ú×´Ì¬,9608.76,84250.46,1.82,0.9,73141
HT100008,ÖÆÈÈ×´Ì¬,9606.94,84249.56,141.8,1736.33,59879
HT100008,´ý»ú×´Ì¬,9465.14,82513.23,1.99,0.84,76621
HT100008,ÖÆÈÈ×´Ì¬,9463.15,82512.39,6.08,69.29,2396
HT100008,³ýËª×´Ì¬,9457.07,82443.1,0.35,-4.25,382
HT100008,ÖÆÈÈ×´Ì¬,9456.72,82447.35,7.15,81.84,2811
HT100008,³ýËª×´Ì¬,9449.57,82365.51,0.41,-4.1,407
HT100008,ÖÆÈÈ×´Ì¬,9449.16,82369.61,7.45,87.05,2968
HT100008,³ýËª×´Ì¬,9441.71,82282.56,0.45,-4.41,390
HT100008,ÖÆÈÈ×´Ì¬,9441.26,82286.97,6.91,85.82,2779
HT100008,´ý»ú×´Ì¬,9434.35,82201.15,0.26,0.08,10729
HT100008,³ýËª×´Ì¬,9434.09,82201.07,0,0.73,10
HT100008,ÖÆÈÈ×´Ì¬,9434.09,82200.34,11.14,143.01,4257
HT100008,³ýËª×´Ì¬,9422.95,82057.33,0.4,-3.99,348
HT100008,ÖÆÈÈ×´Ì¬,9422.55,82061.32,32.35,445.77,12407
HT100008,´ý»ú×´Ì¬,9390.2,81615.55,0.3,0.12,13893
HT100008,³ýËª×´Ì¬,9389.9,81615.43,0.04,0.82,9
HT100008,ÖÆÈÈ×´Ì¬,9389.86,81614.61,6.45,81.13,2570
HT100008,´ý»ú×´Ì¬,9383.41,81533.48,0.21,0.1,8688
HT100008,³ýËª×´Ì¬,9383.2,81533.38,0,0.79,10
HT100008,ÖÆÈÈ×´Ì¬,9383.2,81532.59,6.05,76.91,2420
HT100008,´ý»ú×´Ì¬,9377.15,81455.68,0.29,0.26,12168
HT100008,³ýËª×´Ì¬,9376.86,81455.42,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,9376.86,81455.42,11.55,152.21,4468
HT100008,´ý»ú×´Ì¬,9365.31,81303.21,0.26,0.16,11328
HT100008,³ýËª×´Ì¬,9365.05,81303.05,0,0.88,10
HT100008,ÖÆÈÈ×´Ì¬,9365.05,81302.17,8.9,115.48,3533
HT100008,´ý»ú×´Ì¬,9356.15,81186.69,0.21,0.65,9408
HT100008,³ýËª×´Ì¬,9355.94,81186.04,0.04,0,10
HT100008,ÖÆÈÈ×´Ì¬,9355.9,81186.04,12.76,169.37,4994
HT100008,´ý»ú×´Ì¬,9343.14,81016.67,0.31,0.54,13985
HT100008,ÖÆÈÈ×´Ì¬,9342.83,81016.13,12.49,167.64,4795
HT100008,³ýËª×´Ì¬,9330.34,80848.49,0.38,-4.13,344
HT100008,ÖÆÈÈ×´Ì¬,9329.96,80852.62,10.6,142.31,4228
HT100008,³ýËª×´Ì¬,9319.36,80710.31,0.36,-3.16,330
HT100008,ÖÆÈÈ×´Ì¬,9319,80713.47,8.45,112.26,3391
HT100008,³ýËª×´Ì¬,9310.55,80601.21,0.38,-3.78,319
HT100008,ÖÆÈÈ×´Ì¬,9310.17,80604.99,8.84,115.81,3541
HT100008,´ý»ú×´Ì¬,9301.33,80489.18,0.21,0.8,9408
HT100008,³ýËª×´Ì¬,9301.12,80488.38,0.05,0,10
HT100008,ÖÆÈÈ×´Ì¬,9301.07,80488.38,9.75,124.86,3826
HT100008,´ý»ú×´Ì¬,9291.32,80363.52,0.27,0.32,11568
HT100008,³ýËª×´Ì¬,9291.05,80363.2,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,9291.05,80363.2,21.18,275.76,8126
HT100008,´ý»ú×´Ì¬,9269.87,80087.44,0.94,0.6,52384
HT100008,ÖÆÈÈ×´Ì¬,9268.93,80086.84,145.21,2036.9,58919
HT100008,´ý»ú×´Ì¬,9123.72,78049.94,3.03,0.91,164007
HT100008,ÖÆÈÈ×´Ì¬,9120.69,78049.03,219.25,3035.33,90238
HT100008,´ý»ú×´Ì¬,8901.44,75013.7,0.53,0.14,21594
HT100008,³ýËª×´Ì¬,8900.91,75013.56,0.02,0.77,10
HT100008,ÖÆÈÈ×´Ì¬,8900.89,75012.79,6.06,74.69,2726
HT100008,³ýËª×´Ì¬,8894.83,74938.1,0.1,-1.33,120
HT100008,ÖÆÈÈ×´Ì¬,8894.73,74939.43,332.48,3829.98,134670
HT100008,´ý»ú×´Ì¬,8562.25,71109.45,0.65,0.99,27830
HT100008,ÖÆÈÈ×´Ì¬,8561.6,71108.46,6.02,73.19,2275
HT100008,³ýËª×´Ì¬,8555.58,71035.27,0.4,-3.84,312
HT100008,ÖÆÈÈ×´Ì¬,8555.18,71039.11,6.76,82.28,2676
HT100008,´ý»ú×´Ì¬,8548.42,70956.83,0.22,0.4,8928
HT100008,³ýËª×´Ì¬,8548.2,70956.43,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,8548.2,70956.43,4.22,53.38,1743
HT100008,´ý»ú×´Ì¬,8543.98,70903.05,0.23,0.22,9649
HT100008,³ýËª×´Ì¬,8543.75,70902.83,0,0,9
HT100008,ÖÆÈÈ×´Ì¬,8543.75,70902.83,7.44,97.74,2949
HT100008,´ý»ú×´Ì¬,8536.31,70805.09,0.63,0.29,28367
HT100008,³ýËª×´Ì¬,8535.68,70804.8,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,8535.68,70804.8,109.14,1570.98,41808
HT100008,´ý»ú×´Ì¬,8426.54,69233.82,2.1,1.53,146756
HT100008,ÖÆÈÈ×´Ì¬,8424.44,69232.29,64.99,1003.48,26340
HT100008,´ý»ú×´Ì¬,8359.45,68228.81,2.1,0.46,139748
HT100008,ÖÆÈÈ×´Ì¬,8357.35,68228.35,14.23,194.57,5640
HT100008,´ý»ú×´Ì¬,8343.12,68033.78,1.17,0.08,76825
HT100008,³ýËª×´Ì¬,8341.95,68033.7,0,0.73,10
HT100008,ÖÆÈÈ×´Ì¬,8341.95,68032.97,45.37,665.46,18618
HT100008,´ý»ú×´Ì¬,8296.58,67367.51,2.16,1.42,145603
HT100008,ÖÆÈÈ×´Ì¬,8294.42,67366.09,236.13,3404.22,96479
HT100008,´ý»ú×´Ì¬,8058.29,63961.87,2.35,0.59,109724
HT100008,ÖÆÈÈ×´Ì¬,8055.94,63961.28,33.59,456.89,14040
HT100008,´ý»ú×´Ì¬,8022.35,63504.39,1.31,0.6,61847
HT100008,³ýËª×´Ì¬,8021.04,63503.79,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,8021.04,63503.79,20.36,268.64,8409
HT100008,´ý»ú×´Ì¬,8000.68,63235.15,0.25,0.72,9785
HT100008,ÖÆÈÈ×´Ì¬,8000.43,63234.43,19.29,249.61,8035
HT100008,³ýËª×´Ì¬,7981.14,62984.82,0.44,-4.75,363
HT100008,ÖÆÈÈ×´Ì¬,7980.7,62989.57,31.1,377.42,12882
HT100008,³ýËª×´Ì¬,7949.6,62612.15,0.49,-3.14,432
HT100008,ÖÆÈÈ×´Ì¬,7949.11,62615.29,33.28,406.03,13835
HT100008,´ý»ú×´Ì¬,7915.83,62209.26,1.18,0.37,46623
HT100008,ÖÆÈÈ×´Ì¬,7914.65,62208.89,5.36,63.64,2275
HT100008,³ýËª×´Ì¬,7909.29,62145.25,0.31,-3.17,257
HT100008,ÖÆÈÈ×´Ì¬,7908.98,62148.42,16.68,202.79,7113
HT100008,³ýËª×´Ì¬,7892.3,61945.63,0.55,-3.1,468
HT100008,ÖÆÈÈ×´Ì¬,7891.75,61948.73,81.07,813.37,30194
HT100008,³ýËª×´Ì¬,7810.68,61135.36,0.43,-1.82,469
HT100008,ÖÆÈÈ×´Ì¬,7810.25,61137.18,17.84,154.89,6578
HT100008,´ý»ú×´Ì¬,7792.41,60982.29,0.95,0.5,37503
HT100008,ÖÆÈÈ×´Ì¬,7791.46,60981.79,48.72,390.92,18716
HT100008,³ýËª×´Ì¬,7742.74,60590.87,0.44,-2.73,478
HT100008,ÖÆÈÈ×´Ì¬,7742.3,60593.6,24.87,183.87,9971
HT100008,³ýËª×´Ì¬,7717.43,60409.73,0.46,-3.41,478
HT100008,ÖÆÈÈ×´Ì¬,7716.97,60413.14,18.62,132.89,7472
HT100008,³ýËª×´Ì¬,7698.35,60280.25,0.41,-2.79,469
HT100008,ÖÆÈÈ×´Ì¬,7697.94,60283.04,2.33,15.69,1087
HT100008,´ý»ú×´Ì¬,7695.61,60267.35,0.37,0.63,11584
HT100008,ÖÆÈÈ×´Ì¬,7695.24,60266.72,14.61,108.18,5876
HT100008,³ýËª×´Ì¬,7680.63,60158.54,0.47,-4.05,478
HT100008,ÖÆÈÈ×´Ì¬,7680.16,60162.59,13.67,104.19,5663
HT100008,³ýËª×´Ì¬,7666.49,60058.4,0.45,-3.06,478
HT100008,ÖÆÈÈ×´Ì¬,7666.04,60061.46,11.24,84.32,4632
HT100008,³ýËª×´Ì¬,7654.8,59977.14,0.45,-2.39,484
HT100008,ÖÆÈÈ×´Ì¬,7654.35,59979.53,11.15,80.49,4440
HT100008,³ýËª×´Ì¬,7643.2,59899.04,0.47,-2.75,469
HT100008,ÖÆÈÈ×´Ì¬,7642.73,59901.79,5.64,40.42,2393
HT100008,´ý»ú×´Ì¬,7637.09,59861.37,0,0,5
HT100008,¹ÊÕÏ×´Ì¬,7637.09,59861.37,0.01,0,65
HT100008,ÖÆÈÈ×´Ì¬,7637.08,59861.37,0,0,52
HT100008,´ý»ú×´Ì¬,7637.08,59861.37,0.29,0.44,10624
HT100008,ÖÆÈÈ×´Ì¬,7636.79,59860.93,5.32,47.77,2276
HT100008,³ýËª×´Ì¬,7631.47,59813.16,0.45,-4.89,478
HT100008,ÖÆÈÈ×´Ì¬,7631.02,59818.05,6.75,57.22,2921
HT100008,³ýËª×´Ì¬,7624.27,59760.83,0.41,-3.45,469
HT100008,ÖÆÈÈ×´Ì¬,7623.86,59764.28,0.91,7.35,487
HT100008,´ý»ú×´Ì¬,7622.95,59756.93,0.24,0.33,8944
HT100008,ÖÆÈÈ×´Ì¬,7622.71,59756.6,10.82,97.15,4316
HT100008,³ýËª×´Ì¬,7611.89,59659.45,0.5,-3.97,433
HT100008,ÖÆÈÈ×´Ì¬,7611.39,59663.42,7.58,79.75,3325
HT100008,´ý»ú×´Ì¬,7603.81,59583.67,0.36,1.07,99383
HT100008,ÖÆÈÈ×´Ì¬,7603.45,59582.6,56.79,793.6,24900
HT100008,´ý»ú×´Ì¬,7546.66,58789,1.03,0.68,143477
HT100008,ÖÆÈÈ×´Ì¬,7545.63,58788.32,75,1012.69,31680
HT100008,´ý»ú×´Ì¬,7470.63,57775.63,2.5,0.75,122822
HT100008,ÖÆÈÈ×´Ì¬,7468.13,57774.88,32.2,408.99,13704
HT100008,´ý»ú×´Ì¬,7435.93,57365.89,2.92,1.23,137102
HT100008,ÖÆÈÈ×´Ì¬,7433.01,57364.66,45.63,646.61,19200
HT100008,´ý»ú×´Ì¬,7387.38,56718.05,0.26,0.4,11589
HT100008,³ýËª×´Ì¬,7387.12,56717.65,0.03,0,12
HT100008,ÖÆÈÈ×´Ì¬,7387.09,56717.65,17.5,240.72,7547
HT100008,´ý»ú×´Ì¬,7369.59,56476.93,2.82,0.59,134447
HT100008,³ýËª×´Ì¬,7366.77,56476.34,0,0,11
HT100008,ÖÆÈÈ×´Ì¬,7366.77,56476.34,57.21,793.68,23582
HT100008,´ý»ú×´Ì¬,7309.56,55682.66,2.29,1.18,105423
HT100008,ÖÆÈÈ×´Ì¬,7307.27,55681.48,63.07,875.55,26279
HT100008,´ý»ú×´Ì¬,7244.2,54805.93,1.8,1.13,83704
HT100008,ÖÆÈÈ×´Ì¬,7242.4,54804.8,10.74,149.33,4560
HT100008,´ý»ú×´Ì¬,7231.66,54655.47,3.76,1.26,179100
HT100008,ÖÆÈÈ×´Ì¬,7227.9,54654.21,62.16,865.45,26040
HT100008,´ý»ú×´Ì¬,7165.74,53788.76,1.63,1.1,76263
HT100008,ÖÆÈÈ×´Ì¬,7164.11,53787.66,49.66,659.66,19920
HT100008,´ý»ú×´Ì¬,7114.45,53128,1.1,0.06,52074
HT100008,ÖÆÈÈ×´Ì¬,7113.35,53127.94,68.75,912.67,27719
HT100008,´ý»ú×´Ì¬,7044.6,52215.27,1.85,0.82,85023
HT100008,ÖÆÈÈ×´Ì¬,7042.75,52214.45,6.79,80.12,2760
HT100008,´ý»ú×´Ì¬,7035.96,52134.33,0.35,0.89,15541
HT100008,³ýËª×´Ì¬,7035.61,52133.44,0,0,5
HT100008,ÖÆÈÈ×´Ì¬,7035.61,52133.44,10.98,132.23,4435
HT100008,´ý»ú×´Ì¬,7024.63,52001.21,0.31,0.33,13490
HT100008,³ýËª×´Ì¬,7024.32,52000.88,0.05,0,10
HT100008,ÖÆÈÈ×´Ì¬,7024.27,52000.88,13.94,167,5482
HT100008,´ý»ú×´Ì¬,7010.33,51833.88,0.74,0.41,34248
HT100008,³ýËª×´Ì¬,7009.59,51833.47,0,0,11
HT100008,ÖÆÈÈ×´Ì¬,7009.59,51833.47,22.42,275.8,8993
HT100008,´ý»ú×´Ì¬,6987.17,51557.67,0.29,0.18,13009
HT100008,³ýËª×´Ì¬,6986.88,51557.49,0,0.76,11
HT100008,ÖÆÈÈ×´Ì¬,6986.88,51556.73,6.6,70.19,2794
HT100008,´ý»ú×´Ì¬,6980.28,51486.54,0.19,0.23,7249
HT100008,³ýËª×´Ì¬,6980.09,51486.31,0,0,11
HT100008,ÖÆÈÈ×´Ì¬,6980.09,51486.31,6.27,68.66,2665
HT100008,´ý»ú×´Ì¬,6973.82,51417.65,0.22,0.64,9409
HT100008,³ýËª×´Ì¬,6973.6,51417.01,0.03,0,11
HT100008,ÖÆÈÈ×´Ì¬,6973.57,51417.01,9.29,111.01,3886
HT100008,´ý»ú×´Ì¬,6964.28,51306,0.48,-0.09,21419
HT100008,³ýËª×´Ì¬,6963.8,51306.09,0,0,11
HT100008,ÖÆÈÈ×´Ì¬,6963.8,51306.09,61.95,774.41,24208
HT100008,´ý»ú×´Ì¬,6901.85,50531.68,0.29,0.07,10970
HT100008,³ýËª×´Ì¬,6901.56,50531.61,0,0.68,10
HT100008,ÖÆÈÈ×´Ì¬,6901.56,50530.93,13.75,164.24,5323
HT100008,´ý»ú×´Ì¬,6887.81,50366.69,0.36,0.61,13265
HT100008,ÖÆÈÈ×´Ì¬,6887.45,50366.08,2.83,34.48,1200
HT100008,´ý»ú×´Ì¬,6884.62,50331.6,0.26,0.37,8225
HT100008,ÖÆÈÈ×´Ì¬,6884.36,50331.23,80.8,1079.28,32763
