ÈÈ±Ã±àºÅ,¹¤×÷×´Ì¬,½áÊøµç±íÊý(kWh),½áÊøÈÈ±íÊý(MJ),ÓÃµçÁ¿(kWh),ÖÆÈÈÁ¿(MJ),ÔËÐÐÊ±¼ä
HT100008,ÖÆÈÈ×´Ì¬,12327.58,115229.7,3.63,41.4,1594
HT100008,´ý»ú×´Ì¬,12323.95,115188.3,0.22,0.61,9524
HT100008,³ýËª×´Ì¬,12323.73,115187.69,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,12323.73,115187.69,2.5,28.14,1091
HT100008,´ý»ú×´Ì¬,12321.23,115159.55,0.22,0.55,8340
HT100008,³ýËª×´Ì¬,12321.01,115159,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,12321.01,115159,1.89,19.27,851
HT100008,´ý»ú×´Ì¬,12319.12,115139.73,0.62,0,25139
HT100008,³ýËª×´Ì¬,12318.5,115139.73,0.02,0.37,49
HT100008,ÖÆÈÈ×´Ì¬,12318.48,115139.36,12.59,146.36,5027
HT100008,³ýËª×´Ì¬,12305.89,114993,0.37,-4.33,363
HT100008,ÖÆÈÈ×´Ì¬,12305.52,114997.33,18.54,216.92,7252
HT100008,³ýËª×´Ì¬,12286.98,114780.41,0.33,-3.34,331
HT100008,ÖÆÈÈ×´Ì¬,12286.65,114783.75,9.31,107.63,3707
HT100008,³ýËª×´Ì¬,12277.34,114676.12,0.4,-5.56,363
HT100008,ÖÆÈÈ×´Ì¬,12276.94,114681.68,6.72,76.36,2728
HT100008,´ý»ú×´Ì¬,12270.22,114605.32,0.55,0.12,22681
HT100008,³ýËª×´Ì¬,12269.67,114605.2,0,0.83,10
HT100008,ÖÆÈÈ×´Ì¬,12269.67,114604.37,19.21,247.93,7670
HT100008,´ý»ú×´Ì¬,12250.46,114356.44,0.23,1.32,8465
HT100008,ÖÆÈÈ×´Ì¬,12250.23,114355.12,3.83,45.61,1555
HT100008,³ýËª×´Ì¬,12246.4,114309.51,0.24,-3.35,285
HT100008,ÖÆÈÈ×´Ì¬,12246.16,114312.86,8.96,108.22,3554
HT100008,³ýËª×´Ì¬,12237.2,114204.64,0.34,-4.32,382
HT100008,ÖÆÈÈ×´Ì¬,12236.86,114208.96,9.79,116.03,3951
HT100008,³ýËª×´Ì¬,12227.07,114092.93,0.33,-3.92,374
HT100008,ÖÆÈÈ×´Ì¬,12226.74,114096.85,9.04,102.86,3591
HT100008,³ýËª×´Ì¬,12217.7,113993.99,0.3,-4.41,341
HT100008,ÖÆÈÈ×´Ì¬,12217.4,113998.4,8.45,96.36,3422
HT100008,³ýËª×´Ì¬,12208.95,113902.04,0.35,-4.33,344
HT100008,ÖÆÈÈ×´Ì¬,12208.6,113906.37,8.51,95.46,3412
HT100008,³ýËª×´Ì¬,12200.09,113810.91,0.31,-3.74,344
HT100008,ÖÆÈÈ×´Ì¬,12199.78,113814.65,8.31,91.73,3304
HT100008,³ýËª×´Ì¬,12191.47,113722.92,0.45,-4.44,418
HT100008,ÖÆÈÈ×´Ì¬,12191.02,113727.36,3.39,35.11,1414
HT100008,´ý»ú×´Ì¬,12187.63,113692.25,1.05,0.84,39658
HT100008,ÖÆÈÈ×´Ì¬,12186.58,113691.41,15.24,178.33,5995
HT100008,³ýËª×´Ì¬,12171.34,113513.08,0.31,-3.45,309
HT100008,ÖÆÈÈ×´Ì¬,12171.03,113516.53,12.84,151.64,5063
HT100008,³ýËª×´Ì¬,12158.19,113364.89,0.23,-2.24,243
HT100008,ÖÆÈÈ×´Ì¬,12157.96,113367.13,6.37,75.27,2561
HT100008,³ýËª×´Ì¬,12151.59,113291.86,0.29,-3.61,315
HT100008,ÖÆÈÈ×´Ì¬,12151.3,113295.47,11.18,130.06,4429
HT100008,³ýËª×´Ì¬,12140.12,113165.41,0.29,-2.85,304
HT100008,ÖÆÈÈ×´Ì¬,12139.83,113168.26,10.05,118.03,4037
HT100008,³ýËª×´Ì¬,12129.78,113050.23,0.32,-4.52,331
HT100008,ÖÆÈÈ×´Ì¬,12129.46,113054.75,11.8,138.31,4766
HT100008,³ýËª×´Ì¬,12117.66,112916.44,0.47,-4.07,426
HT100008,ÖÆÈÈ×´Ì¬,12117.19,112920.51,2.71,28.54,1194
HT100008,´ý»ú×´Ì¬,12114.48,112891.97,1.17,0.94,44944
HT100008,ÖÆÈÈ×´Ì¬,12113.31,112891.03,14.65,168.29,5876
HT100008,³ýËª×´Ì¬,12098.66,112722.74,0.38,-5.02,380
HT100008,ÖÆÈÈ×´Ì¬,12098.28,112727.76,19.53,224.95,7729
HT100008,³ýËª×´Ì¬,12078.75,112502.81,0.32,-4.9,342
HT100008,ÖÆÈÈ×´Ì¬,12078.43,112507.71,19.18,230.91,7594
HT100008,³ýËª×´Ì¬,12059.25,112276.8,0.26,-2.98,266
HT100008,ÖÆÈÈ×´Ì¬,12058.99,112279.78,11.66,140.3,4630
HT100008,³ýËª×´Ì¬,12047.33,112139.48,0.23,-1.7,232
HT100008,ÖÆÈÈ×´Ì¬,12047.1,112141.18,6.31,76.37,2572
HT100008,³ýËª×´Ì¬,12040.79,112064.81,0.24,-2.64,236
HT100008,ÖÆÈÈ×´Ì¬,12040.55,112067.45,6.37,76.22,2568
HT100008,³ýËª×´Ì¬,12034.18,111991.23,0.22,-2.59,262
HT100008,ÖÆÈÈ×´Ì¬,12033.96,111993.82,6.35,73.83,2559
HT100008,³ýËª×´Ì¬,12027.61,111919.99,0.35,-2.62,321
HT100008,ÖÆÈÈ×´Ì¬,12027.26,111922.61,2.91,32.48,1251
HT100008,´ý»ú×´Ì¬,12024.35,111890.13,0.97,1,38103
HT100008,ÖÆÈÈ×´Ì¬,12023.38,111889.13,6.03,68.67,2395
HT100008,³ýËª×´Ì¬,12017.35,111820.46,0.34,-4.43,378
HT100008,ÖÆÈÈ×´Ì¬,12017.01,111824.89,12.74,145.13,5061
HT100008,³ýËª×´Ì¬,12004.27,111679.76,0.34,-4.87,376
HT100008,ÖÆÈÈ×´Ì¬,12003.93,111684.63,12.77,144.29,5060
